id	parent	iteration	status	description	n	sums	diffs	span	score	solver_seconds	evaluator_seconds	total_seconds	set_hash	artifact_sha256
sol_0010	sol_0001	10	ok	Implemented the focused three-interval exhaustive search in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0010/solver.py:1). - Immediately checkpoints hard-coded `sol_0001`. - Exhaustively enumerates normalized three-interval unions in `[0,48]`. - Uses exact integer-bitset sum/difference cardinalities. - Atomically checkpoints strict improvements. - Stops safely at 165 seconds. - Static syntax and whitespace checks passed. - Solver was not executed. `PROPOSA	17	59	55	29	1.0597930945472454	1.3087008750007953	0.03069054099614732	1.3445731659885496	f4a998459f6902e59a292de8261751ef3d5a6fb3c32c8aa2890f1a3d3f6ffe0d	3ba806afaa9a83aa96690e983f09e14f98d9978fdcb62661ad6ff597b0c63f0c
sol_0011	sol_0001	9	ok	Implemented [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0009/solver.py) with: - 32-replica gap-vector parallel tempering - Seed `4009`, 155-second budget - Gap-change and span-preserving transfer mutations - Gaps `[1,8]`, span `[25,80]`, fixed 17 elements - Exact scoring and atomic strict-improvement checkpoints AST and whitespace validation passed. The solver was not executed. `PROPOSAL.md` was omitted because the binding protocol permits modifying only `	17	59	55	29	1.0597930945472454	155.0776589580055	0.03197708299558144	155.11378416600928	f4a998459f6902e59a292de8261751ef3d5a6fb3c32c8aa2890f1a3d3f6ffe0d	3ba806afaa9a83aa96690e983f09e14f98d9978fdcb62661ad6ff597b0c63f0c
sol_0012	sol_0001	11	ok	Implemented the focused tensor-subset parallel-tempering experiment in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0011/solver.py). - Uses seed `4011`, 24 replicas, 155 seconds, and temperatures `1e-5..0.02`. - Performs exact incremental bitset scoring for 1–4 point toggles with `64 ≤ n ≤ 289`. - Atomically checkpoints strict improvements. - Static validation passed; solver was not executed. - `PROPOSAL.md` was omitted because the binding protocol permits	277	4489	3657	2244	1.0794405274361936	155.10451054199075	0.028491417004261166	155.13713320800161	0e80e14799616a4f838cc71877b32c4defe1a55c11ccb28566098465a89ef220	d8574e2a199271bd6e0d18999408d4fb7cdaf27d3b54ec35ac8354da27251d0e
sol_0013	sol_0001	13	ok	Implemented the exhaustive carry-interacting digit-product search in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0013/solver.py). - Enumerates `q=2..40` and all eligible masks `B ⊆ [0,15]`. - Uses exact bitset scoring and deduplication. - Atomically checkpoints and verifies the `sol_0001` fallback. - Stops safely after 165 seconds. - Static syntax and whitespace checks passed. - Solver was not executed. - No `PROPOSAL.md` was created because the binding pr	149	587	539	293	1.0663488008647637	12.35758037501364	0.024303708007209934	12.3847026250005	29a3847f4612ca6592a34cbb5bb57d58b4e4463e08cd1e2c94575e86100abd59	f176f34daa9256f613b57616c9559589341c5aacee3ea98c2ff4e2eac5c3da82
sol_0014	sol_0001	14	crash	Implemented the exhaustive two-affine-copy experiment in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0014/solver.py:1). - Sweeps all 820,000 `(r, s, t)` combinations. - Uses exact bitset sum/difference scoring. - Verifies the fallback metrics `(17, 67, 61)` before checkpointing. - Canonicalizes and exactly rechecks improvements. - Stops safely at 165 seconds. - Syntax and whitespace checks passed. - Did not run the solver or create `PROPOSAL.md`; only `sol						0.044751041001291014				
sol_0015	sol_0001	12	ok	Implemented the focused experiment in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0012/solver.py): - 32-replica annealing with seed `4012` - Reflection-symmetric core plus at most 8 asymmetric exceptions - Required 60/30/10 mutation mix - `m ∈ [24,160]` - Exact bitset scoring and atomic checkpoints - Preserves the `1.073430112` incumbent as fallback Static validation passed. The solver was not executed. `PROPOSAL.md` was omitted because the binding protoco	17	67	61	33	1.0734301120997747	160.05118712500553	0.026606625004205853	160.0804835829913	9a1ddfe6abde28fdc8560d20d5576a969a2bedbb9d9ba109a93e2c324c81d9d0	c707242e22d62141b63d0423c7d8365d90fbd67069509c9f2d35d9341b1b511d
sol_0016	sol_0012	15	ok	Implemented the projection sweep and 150-second seeded annealing in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0015/solver.py). - Exhausts coprime `(u,v)` pairs in `[1,48]²`. - Uses exact deduplicated sum/difference scoring. - Anneals 1–3 cell toggles with seed `4015`. - Atomically checkpoints improvements with a 170-second hard safety limit. - Preserves the 1.079441 parent as immediate fallback. - Static validation passed; solver was not executed. - Did	277	4489	3657	2244	1.0794405274361936	150.22501912500593	0.03674541700456757	150.26633066700015	0e80e14799616a4f838cc71877b32c4defe1a55c11ccb28566098465a89ef220	d8574e2a199271bd6e0d18999408d4fb7cdaf27d3b54ec35ac8354da27251d0e
sol_0017	sol_0001	17	ok	Implemented the exact two-affine-copy sweep in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0017/solver.py). - Directly scores and checkpoints the verified fallback. - Exhaustively sweeps the requested `(r, s, t)` ranges. - Uses exact bitset cardinalities with final set-enumeration verification. - Stops safely after 165 seconds. - Syntax and whitespace checks passed. - Solver was not executed. - No `PROPOSAL.md` was created because only `solver.py` may chan	29	107	99	53	1.0632900017039428	2.0557387089938857	0.32157491699035745	2.3842950420075795	367b3064ba83553f771c84b7a3fb2cd71983dd1321e5e8c01588d4b3c6673d4d	2940721657be5717c5be1d182c0f2a6fcc8990cf2e98cff844ac0c8917e7927e
sol_0018	sol_0012	16	ok	Implemented the experiment in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0016/solver.py): - Exact `sol_0012` 277-element parent. - Width-16 marginal-deletion beam down to `n=32`. - Exact sum/difference multiplicity maintenance. - Seeded single-swap repair over `[0,2244]`. - Atomic incumbent checkpoints and 165-second deadline. - Static AST validation passed. The solver was not executed. `PROPOSAL.md` was omitted because the final constraint permits modify	277	4489	3657	2244	1.0794405274361936	165.08935783400375	0.05011995800305158	165.14378920799936	0e80e14799616a4f838cc71877b32c4defe1a55c11ccb28566098465a89ef220	d8574e2a199271bd6e0d18999408d4fb7cdaf27d3b54ec35ac8354da27251d0e
sol_0019	sol_0012	19	ok	Implemented the periodic-lift annealing experiment in [solver.py](/Users/williamqian/GitHub/OpenHyra/runs/sums_diffs/trial_04/drafts/iter_0019/solver.py). - Searches all requested `(m, K)` combinations with seed `4019`. - Uses exact incremental carry-class scoring. - Preserves the verified 277-element incumbent immediately. - Fully rechecks improvements before atomic checkpoints. - Stops after 155 seconds. - Static syntax checks passed; solver was not executed. - Omitted `PROPOSAL.md` to comply	277	4489	3657	2244	1.0794405274361936	155.0885564170021	0.04736108399811201	155.14088650001213	0e80e14799616a4f838cc71877b32c4defe1a55c11ccb28566098465a89ef220	d8574e2a199271bd6e0d18999408d4fb7cdaf27d3b54ec35ac8354da27251d0e
sol_0020	sol_0012	18	crash	proposal agent (codex) exited with code 1: 57,446										
sol_0021	sol_0012	20	crash	proposal agent (codex) exited with code 1: 2026-07-21T16:41:10.819379Z  WARN codex_mcp::rmcp_client: failed to initialize MCP client during shutdown: MCP startup failed: handshaking with MCP server failed: Send message error Transport [rmcp::transport::worker::WorkerTransport<rmcp::transport::streamable_http_client::StreamableHttpClientWorke										
